volts	mAhg
3.76363775	70.62366917
3.76394293	70.76464286
3.76424811	70.90561278
3.7644007	71.04658271
3.76485847	71.18755639
3.76455329	71.32852632
3.76516365	71.46949624
3.76531624	71.61046992
3.76546883	71.75143985
3.7659266	71.89240977
3.7659266	72.03338346
3.76623178	72.17435338
3.76638437	72.31532331
3.76653696	72.45629699
3.76684215	72.59726692
3.76699474	72.73823684
3.76729992	72.87921053
3.7676051	73.02018045
3.76775769	73.16115038
3.76791028	73.3021203
3.76821546	73.44309398
3.76836805	73.58406391
3.76867323	73.72503383
3.76882582	73.86600752
3.769131	74.00697744
3.76928359	74.14794737
3.76974136	74.28892105
3.76958877	74.42989098
3.77004654	74.5708609
3.77019913	74.71183459
3.77035172	74.85280451
3.77050431	74.99377444
3.77080949	75.13474812
3.77096208	75.27571805
3.77126726	75.41668797
3.77141985	75.55766165
3.77172503	75.69863158
3.77187762	75.8396015
3.77203021	75.98057519
3.77248798	76.12154511
3.77264057	76.26251504
3.77294575	76.40348872
3.77309834	76.54445865
3.77325093	76.68542857
3.77355612	76.82640226
3.77370871	76.96737218
3.7738613	77.10834211
3.77416648	77.24931579
3.77447166	77.39028571
3.77462425	77.53125564
3.77477684	77.67222932
3.77508202	77.81319925
3.77523461	77.95416917
3.77553979	78.09514286
3.77584497	78.23611278
3.77615015	78.37708271
3.77630274	78.51805639
3.77660792	78.65902632
3.7769131	78.79999624
3.77706569	78.94096992
3.77737087	79.08193985
3.77767605	79.22290977
3.77767605	79.36388346
3.77798123	79.50485338
3.77813382	79.64582331
3.77859159	79.78679699
3.77859159	79.92776692
3.77904936	80.06873684
3.77920195	80.20971053
3.77950713	80.35068045
3.7799649	80.49165038
3.78011749	80.63262406
3.78027008	80.77359398
3.78057527	80.91456391
3.78072786	81.05553759
3.78103304	81.19650752
3.78133822	81.33747744
3.78149081	81.47845113
3.7816434	81.61942105
3.78194858	81.76039098
3.78240635	81.90136466
3.78255894	82.04233459
3.78286412	82.18330451
3.7831693	82.3242782
3.78347448	82.46524812
3.78362707	82.60621805
3.78393225	82.74719173
3.78408484	82.88816165
3.78423743	83.02913158
3.78454261	83.17010526
3.78500038	83.31107519
3.78515297	83.45204511
3.78530556	83.5930188
3.78576333	83.73398872
3.78591592	83.87495865
3.7862211	84.01593233
3.78652628	84.15690226
3.78683146	84.29787218
3.78713664	84.43884586
3.78744182	84.57981579
3.78774701	84.72078571
3.7878996	84.8617594
3.78820478	85.00272932
3.78850996	85.14369925
3.78866255	85.28467293
3.78881514	85.42564286
3.78927291	85.56661278
3.7894255	85.70758647
3.78973068	85.84855639
3.79003586	85.98952632
3.79049363	86.1305
3.79079881	86.27146992
3.7909514	86.41243985
3.79125658	86.55341353
3.79156176	86.69438346
3.79201953	86.83535338
3.79217212	86.97632707
3.7924773	87.11729699
3.79278248	87.25826692
3.79293507	87.3992406
3.79339284	87.54021053
3.79369802	87.68118045
3.79415579	87.82215414
3.79430838	87.96312406
3.79446098	88.10409398
3.79476616	88.24506767
3.79507134	88.38603759
3.7956817	88.52700752
3.79583429	88.6679812
3.79598688	88.80895113
3.79644465	88.94992105
3.79674983	89.09089474
3.79705501	89.23186466
3.79736019	89.37283459
3.79751278	89.51380827
3.79797055	89.6547782
3.79827573	89.79574812
3.7987335	89.9367218
3.79903868	90.07769173
3.79934386	90.21866165
3.79949645	90.35963534
3.79980163	90.50060526
3.8002594	90.64157519
3.80071717	90.78254511
3.80086976	90.9235188
3.80117494	91.06448872
3.80163272	91.20545865
3.8019379	91.34643233
3.80224308	91.48740226
3.80254826	91.62837218
3.80285344	91.76934586
3.80315862	91.91031579
3.80331121	92.05128571
3.80376898	92.1922594
3.80392157	92.33322932
3.80437934	92.47419925
3.80483711	92.61517293
3.80544747	92.75614286
3.80575265	92.89711278
3.80605783	93.03808647
3.80621042	93.17905639
3.80682078	93.32002632
3.80697337	93.461
3.80743114	93.60196992
3.80788891	93.74293985
3.8080415	93.88391353
3.80849928	94.02488346
3.80895705	94.16585338
3.80926223	94.30682707
3.80972	94.44779699
3.80987259	94.58876692
3.81033036	94.7297406
3.81078813	94.87071053
3.81109331	95.01168045
3.81139849	95.15265414
3.81200885	95.29362406
3.81231403	95.43459398
3.81246662	95.57556767
3.81307698	95.71653759
3.81353475	95.85750752
3.81383993	95.9984812
3.8142977	96.13945113
3.81460288	96.28042105
3.81475547	96.42139474
3.81536584	96.56236466
3.8159762	96.70333459
3.81643397	96.84430827
3.81658656	96.9852782
3.81704433	97.12624812
3.81734951	97.2672218
3.81765469	97.40819173
3.81811246	97.54916165
3.81872282	97.69013534
3.81918059	97.83110526
3.81948577	97.97207519
3.81994354	98.11304887
3.82040131	98.2540188
3.82070649	98.39498872
3.82116426	98.53596241
3.82162203	98.67693233
3.8220798	98.81790226
3.82238499	98.95887594
3.82299535	99.09984586
3.82330053	99.24081579
3.82391089	99.38178947
3.82421607	99.5227594
3.82467384	99.66372932
3.82497902	99.80470301
3.82558938	99.94567293
3.82604715	100.0866429
3.82650492	100.2276165
3.8268101	100.3685865
3.82742046	100.5095564
3.82787823	100.6505301
3.82818341	100.7915
3.82848859	100.9324699
3.82925154	101.0734436
3.82970932	101.2144135
3.8300145	101.3553835
3.83062486	101.4963571
3.83123522	101.6373271
3.8315404	101.778297
3.83199817	101.9192707
3.83230335	102.0602406
3.83291371	102.2012105
3.83367666	102.3421842
3.83398184	102.4831541
3.83443961	102.6241241
3.83504997	102.7650977
3.83520256	102.9060677
3.83581292	103.0470376
3.8362707	103.1880113
3.83703365	103.3289812
3.83733883	103.4699511
3.8377966	103.6109248
3.83855955	103.7518947
3.83901732	103.8928647
3.8393225	104.0338383
3.83978027	104.1748083
3.84039063	104.3157782
3.84115358	104.4567519
3.84161135	104.5977218
3.84191653	104.7386917
3.84267948	104.8796654
3.84298466	105.0206353
3.84359503	105.1616053
3.84435798	105.3025789
3.84466316	105.4435489
3.84512093	105.5845188
3.84573129	105.7254925
3.84618906	105.8664624
3.84664683	106.0074323
3.84725719	106.148406
3.84786755	106.2893759
3.84817273	106.4303459
3.84908827	106.5713195
3.84939345	106.7122895
3.85000381	106.8532594
3.85046159	106.9942331
3.85091936	107.135203
3.8518349	107.2761729
3.85229267	107.4171466
3.85290303	107.5581165
3.85366598	107.6990865
3.85381857	107.8400602
3.85473411	107.9810301
3.85519188	108.122
3.85580224	108.2629737
3.85626001	108.4039436
3.85702296	108.5449135
3.85748074	108.6858872
3.85793851	108.8268571
3.85870146	108.9678271
3.85946441	109.1088008
3.85976959	109.2497707
3.86037995	109.3907406
3.86099031	109.5317143
3.86129549	109.6726842
3.86236362	109.8136541
3.8626688	109.9546278
3.86343175	110.0955977
3.86419471	110.2365677
3.86449989	110.3775414
3.86495766	110.5185113
3.86572061	110.6594812
3.86648356	110.8004549
